SearchID,Speaker,LeftContext,Codes,RightContext,City
1,snatd1,tape0412 necessaire,412,,Senegal Dakar
2,snatd1,iment une0411 etape,412, necessaire0412,Senegal Dakar
3,snatd1, etait vraiment une,411, etape0412 necessaire0412,Senegal Dakar
4,snarg1,iment une0411 etape,412, necessaire0412,Senegal Dakar
5,snarg1, etait vraiment une,411, etape0412 necessaire0412,Senegal Dakar
6,snarg1,pour,412, verifier si son village0411 etait vraiment une0,Senegal Dakar
7,snarg1,ifier si son village,411, etait vraiment une0411 etape0412 necessaire041,Senegal Dakar
8,snarg1, decide a ecrire,411, au Premier Minis0452tre,Senegal Dakar
9,snarg1,411 au Premier Minis,452,tre,Senegal Dakar
10,snaoc1,connue et tranquille,412,,Senegal Dakar
11,snaoc1,plutat que,1112, de1112 se1112 trouver au centre0422 dune0412 ba,Senegal Dakar
12,snaoc1,Beaulieu prefare,411, aatre0421 inconnue et tranquille0412,Senegal Dakar
13,snaoc1, prefare0411 aatre,421, inconnue et tranquille0412,Senegal Dakar
14,snaoc1,tape0412 necessaire,412,,Senegal Dakar
15,snamc1,"2 se1112 de1114, que",1132, de1112 se1112 re1212trouver au centre0422 dune,Senegal Dakar
16,snamc1,plutat que1112 se,1112," de1114, que1132 de1112 se1112 re1212trouver au ce",Senegal Dakar
17,snamc1,,1114,", que1132 de1112 se1112 re1212trouver au centre042",Senegal Dakar
18,snamc1,plutat que,1112," se1112 de1114, que1132 de1112 se1112 re1212trouve",Senegal Dakar
19,snakg1,taille0412 politique,412," dont,",Senegal Dakar
20,snakg1, dune0412 bataille,412," politique0412 dont,",Senegal Dakar
21,snain1,,1112," trouver au centre0422 d'un, dune0412 bataille04",Senegal Dakar
22,snabn1,connue et tranquille,412,,Senegal Dakar
23,snabn1,plutat que,1112, de1112 se1112 trouver au centre0422 dune batail,Senegal Dakar
24,snabn1, prefare0411 aatre,421, inconnue et tranquille0412,Senegal Dakar
25,snabn1,Beaulieu prefare,411, aatre0421 inconnue et tranquille0412,Senegal Dakar
26,snabn1,tape0412 necessaire,412, dans la tournee prevue.,Senegal Dakar
27,snabn1,iment une0411 etape,412, necessaire0412 dans la tournee prevue.,Senegal Dakar
28,snaat1,plutat que,1112, de1112 se1112 trouver au centre1422 ville dune0,Senegal Dakar
29,snaat1,connue et tranquille,412,,Senegal Dakar
30,snaat1, prefare0411 aatre,1421, inconnue et tranquille0412,Senegal Dakar
31,snaat1,Beaulieu prefare,411, aatre1421 inconnue et tranquille0412,Senegal Dakar
32,snaat1,2 plutat que1112 se,1114,",",Senegal Dakar
33,snaat1,ille0412 plutat que,1112," se1114,",Senegal Dakar
34,snaas1,plutat que1112 de,1112, se1112 trouver au centre0422 dune0412 bataille0,Senegal Dakar
35,snaad1,plutat que1112 de,1112, se1112 trouver au centre1422 dune0412 bataille0,Senegal Dakar
36,snaad1,plutat que,1112, de1112 se1112 trouver au centre1422 dune0412 ba,Senegal Dakar
37,snaac1, prefare0411 aatre,421, inconnue et tranquille0414,Senegal Dakar
38,snaac1,iment une0411 etape,412, necessaire0412 dans la tournee prevue.,Senegal Dakar
39,snaac1,tape0412 necessaire,412, dans la tournee prevue.,Senegal Dakar
40,snaac1,Beaulieu prefare,411, aatre0421 inconnue et tranquille0414,Senegal Dakar
41,snaac1,,1112, donner au centre1422 dune0412 bataille0412 poli,Senegal Dakar
42,snaac1,plutat que1112 de,1112, se1112 donner au centre1422 dune0412 bataille04,Senegal Dakar
43,snaac1,plutat que,1112, de1112 se1112 donner au centre1422 dune0412 bat,Senegal Dakar
44,snaac1,au centre1422 dune,412," bataille0412 politique0412 dont,",Senegal Dakar
45,snaac1,112 donner au centre,1422," dune0412 bataille0412 politique0412 dont,",Senegal Dakar
46,snaac1,ste1422s des commune,412,s voisine0414s,Senegal Dakar
47,snaac1,indique,1312,raient que1112 des activiste1422s des commune0412s,Senegal Dakar
48,snaac1,us dans la Depaache,412," du Centre0424,",Senegal Dakar
49,snaac1,paache0412 du Centre,424,",",Senegal Dakar
50,snaac1,De1132 plus,414,", quelque1421s article1422s parus dans la Depaach",Senegal Dakar
51,snaac1,2 repondrons pas de,1112, la reaction des gens du pays.,Senegal Dakar
52,snaac1,Nous avons le,1112, soutien du village0411 entier.,Senegal Dakar
53,snaac1,2 soutien du village,411, entier.,Senegal Dakar
54,snaac1,De,1132," plus0414, quelque1421s article1422s parus dans la",Senegal Dakar
55,snaac1,Sil,412, faut montrer patte0412 blanche0412 pour0412 circu,Senegal Dakar
56,snaac1, jaloux de1112 notre,1412, liberte.,Senegal Dakar
57,snaac1,"in, on est jaloux de",1112, notre1412 liberte.,Senegal Dakar
58,snaac1,Dans le,1112," coin, on est jaloux de1112 notre1412 liberte.",Senegal Dakar
59,snaac1,ne0412 membre1422 de,1112, lopposition aurait declare,Senegal Dakar
60,snaac1,Un jeune0412 membre,1422, de1112 lopposition aurait declare,Senegal Dakar
61,snaac1,de1112 provoquer une,411, explosion.,Senegal Dakar
62,snaac1,Un jeune,412, membre1422 de1112 lopposition aurait declare,Senegal Dakar
63,snaac1,ite risque1422nt de,1112, provoquer une0411 explosion.,Senegal Dakar
64,snaac1, didentite risque,1422,nt de1112 provoquer une0411 explosion.,Senegal Dakar
65,snaac1,"12 police0414, comme",411," on en a vu a Jonquiare0414,",Senegal Dakar
66,snaac1, detache0312ment de,1112," police0414, comme0411 on en a vu a Jonquiare041",Senegal Dakar
67,snaac1,est fait pour0412 le,1122, proteger.,Senegal Dakar
68,snaac1,Or,414,", un gros detache0312ment de1112 police0414, comm",Senegal Dakar
69,snaac1,"14, un gros detache",312,"ment de1112 police0414, comme0411 on en a vu a Jo",Senegal Dakar
70,snaac1,et sassure,412, que1122 tout s'est fait pour0412 le1122 proteger,Senegal Dakar
71,snaac1,c0412 la prefecture,412, la plus proche0414,Senegal Dakar
72,snaac1,le1132 gouverne,1322,ment prend contact0421 avec0412 la prefecture0412,Senegal Dakar
73,snaac1,22ment prend contact,421, avec0412 la prefecture0412 la plus proche0414,Senegal Dakar
74,snaac1,end contact0421 avec,412, la prefecture0412 la plus proche0414,Senegal Dakar
75,snaac1,le,1132, gouverne1322ment prend contact0421 avec0412 la pr,Senegal Dakar
76,snaac1,a chaque0412 voyage,412," du Premier Minis0454tre,",Senegal Dakar
77,snaac1,"22 cate, a chaque",412," voyage0412 du Premier Minis0454tre,",Senegal Dakar
78,snaac1,manifeste1422nt leur,412, colare0413.,Senegal Dakar
79,snaac1,2nt leur0412 colare,413,0,Senegal Dakar
80,snaac1, bor0412ds manifeste,1422,nt leur0412 colare0413.,Senegal Dakar
81,snaac1,ants de1112 tous bor,412,ds manifeste1422nt leur0412 colare0413.,Senegal Dakar
82,snaac1, chaque0412 fois que,1122, les opposants de1112 tous bor0412ds manifeste1422,Senegal Dakar
83,snaac1,122 les opposants de,1112, tous bor0412ds manifeste1422nt leur0412 colare04,Senegal Dakar
84,snaac1, barrage0412s chaque,412, fois que1122 les opposants de1112 tous bor0412ds,Senegal Dakar
85,snaac1,intPierre qui mane,411, au village0414,Senegal Dakar
86,snaac1,La cate,411, escarpee du Mont SaintPierre qui mane0411 au v,Senegal Dakar
87,snaac1,site0412s officielle,413,s?,Senegal Dakar
88,snaac1,e1112 multiplier lor,412,s des visite0412s officielle0413s?,Senegal Dakar
89,snaac1, lor0412s des visite,412,s officielle0413s?,Senegal Dakar
90,snaac1,u tendance0411 a se,1112, multiplier lor0412s des visite0412s officielle041,Senegal Dakar
91,snaac1, qui ont eu tendance,411, a se1112 multiplier lor0412s des visite0412s off,Senegal Dakar
92,snaac1,12 de1122 baisser de,1212,puis les elections.,Senegal Dakar
93,snaac1,"Comment, en plus",414,",",Senegal Dakar
94,snaac1, ne1112 cesse0412 de,1122, baisser de1212puis les elections.,Senegal Dakar
95,snaac1,tre1452 ne1112 cesse,412, de1122 baisser de1212puis les elections.,Senegal Dakar
96,snaac1,mier Ministre1452 ne,1112, cesse0412 de1122 baisser de1212puis les election,Senegal Dakar
97,snaac1, du Premier Ministre,1452, ne1112 cesse0412 de1122 baisser de1212puis les e,Senegal Dakar
98,snaac1,"422 Blanc, est en re",1212,vanche0412 tras inquiet.,Senegal Dakar
99,snaac1, est en re1212vanche,412, tras inquiet.,Senegal Dakar
100,snaac1,"e1122 Beaulieu, Marc",1422," Blanc, est en re1212vanche0412 tras inquiet.",Senegal Dakar
101,snaac1,Le,1132," maire0412 de1122 Beaulieu, Marc1422 Blanc, est en",Senegal Dakar
102,snaac1,ut decouvrir0412 ce,1122, quil appelle0412 la campagne0412 profonde0413.,Senegal Dakar
103,snaac1,veut decouvrir,412, ce1122 quil appelle0412 la campagne0412 profond,Senegal Dakar
104,snaac1,autour0412 des maame,412,"s ville0414s,",Senegal Dakar
105,snaac1,es circuits habituel,412,s qui tournaient toujour0411s autour0412 des maame,Senegal Dakar
106,snaac1,"sar0414d, tout baate",312,"ment,",Senegal Dakar
107,snaac1,Le1131 hasar,414,"d, tout baate0312ment,",Senegal Dakar
108,snaac1,Le,1131," hasar0414d, tout baate0312ment,",Senegal Dakar
109,snaac1,ce1112 grand honneur,413,?,Senegal Dakar
110,snaac1,"cisement, son usine",412, de1122 pate0411s italienne0413s.,Senegal Dakar
111,snaac1, cent trente0412six,414,",",Senegal Dakar
112,snaac1,neuf0412 cent trente,412,"six0414,",Senegal Dakar
113,snaac1,rlin en dix0412neuf,412," cent trente0412six0414,",Senegal Dakar
114,snaac1,de1122 Berlin en dix,412,"neuf0412 cent trente0412six0414,",Senegal Dakar
115,snaac1,ux olympique0412s de,1122, Berlin en dix0412neuf0412 cent trente0412six041,Senegal Dakar
116,snaac1,hampion local0412 de,1122," course0421 a pied, Louis Garret,",Senegal Dakar
117,snaac1,"e, un champion local",412," de1122 course0421 a pied, Louis Garret,",Senegal Dakar
118,snaac1,e1422s de1112 gloire,412," de1122 Beaulieu etaient son vin blanc sec0414,",Senegal Dakar
119,snaac1,de1112 gloire0412 de,1122," Beaulieu etaient son vin blanc sec0414,",Senegal Dakar
120,snaac1,nt son vin blanc sec,414,",",Senegal Dakar
121,snaac1,ses che,1212,"mise0411s en soie, un champion local0412 de1122 co",Senegal Dakar
