City,Speaker,Sex,BirthYear,Age,BirthPlace,OldResidences,Residences,OldProfessions,Retired,Profession,OtherProfessions,MaritalStatus,OtherMaritalStatuses,NumChildren,Children,YearsEducation,LevelEducation,Education,Languages,OtherLanguages,FatherBirthYear,FatherBirthPlace,FatherProfession,FatherEducation,FatherLanguages,FatherOtherLanguages,MotherBirthYear,MotherBirthPlace,MotherProfession,MotherEducation,MotherLanguages,MotherOtherLanguages,SpouseBirthPlace,SpouseProfession,SpouseEducation,SpouseLanguages,SpouseOtherLanguages,Training,HousingType,OtherHousingTypes,Neighborhood,Hobbies,Notes,FormalInterviewer,InformalInterviewer,StudyDate,StudyDuration,StudySetting,StudyCity,Relationship,OtherRelationship,InformalNotes,StudyOrder,Topics,StudyQuality,OtherObservations,EnvironmentQuality
Abidjan,ciaie1,F,1952,52,Abidjan (CI),Abidjan (52),Abidjan (Riviera),Secretaire de direction (20 ans),1,22,Secretaire de direction,Marie,,4,"29 ans, niveau Terminale + 3 ; 28 ans, Bac + 3 ;25 ans, 5e annee d'audit-gestion ; 21 ans, 3e annee sciences economiques",20 et plus,,Technique: BT,"agni ; francais ; dioula, baoule","dioula, baoule rudimentaires",0,,,,,,0,,,,,,,,,,,pere ; ecole primaire et secondaire,Appartement,appartement en bande,bonne,"plage, musique, ping-pong, danse",,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciapa1,F,1960,44,Abidjan (CI),"Abidjan, Tanda (1), Abidjan",Abidjan (Blockauss),medecin,1,7,medecin,Celibataire,,,,20 et plus,Superieur4,,"ebrie ; francais ; dioula, baoule, espagnol","baoule dans le cadre du travail, espagnol lu.",0,,,,,,0,,,,,,,,,,,ecole ; repetiteur  la maison.,Maison,,bonne,"peu en ce moment ; se promener, cinema, the tre",,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciaak1,F,1984,20,Bouake (Cote d'Ivoire),"Bouake (5), Yamoussoukro (1), Daloa (1), Abidjan (12)",Abidjan,aucune,1,17,,Celibataire,,,,18-20,lyceeI,1 an a  l'ecole professionnelle,"tagbana, dioula, baoule, francais","premiere tagbana, francais appris en dernier",1941,"Niakaramandougou, Katiola",gardien,elementaire,"tagbana, dioula, baoule",francais appris en dernier,1946,"Niakaramandougou, Katiola",commercante,elementaire,"tagbana, senoufo, dioula, baoule",,,,,,,,Appartement,internat,bonne,"plage, musique, danse, video",,129,129,5/19/2004,52,ecole,"Abidjan, Abobo",Aucun,logement commun,"bonne qualite, coupure de 3'30'' de l'entretien guide a  la demande de l'enquetee","liste, texte, guide, libre","vie de l'ecole, cuisine, guerre, famille, coutumes",Bon,,Bon
Abidjan,ciafk1,M,1964,40,Bouake (CI),Bouake (19) ; Abidjan (10) ; Dabou (1) ; Abidjan (1) ; Yamoussoukro (4) ; Abidjan (4),Abidjan (Riviera),magistrat,1,4,magistrat,Marie,,,,20 et plus,Superieur4,,baoule ; francais ; anglais ; allemand ; dioula,,0,,,,,,0,,,,,,,,,,,son pere ; les professeurs de francais de 6e et de second cycle,Maison,,bonne,"lecture, films, musique, sports, excursions",,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciaeo1,F,1985,19,Abidjan (CI),Abidjan,Abidjan (Abobo),,,,etudiante,Celibataire,,,,,,en cours,wobe ; ebrie ; ahizi ; francais ; espagnol ; anglais,,0,,,,,,0,,,,,,,,,,,mere ; le professeur de francais de 6e.,internat,,bonne,musique,,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciatk1,M,1951,53,Man (CI),"Man (12) ; Singuela (3), Dimbokro (3) ; lycee (3) ; Abidjan (4) ; Madrid (4) ; Abidjan (20)",Abidjan (Riviera),Professeur ; interprete,1,4,directeur en communication,Marie,,20 et plus,,,Superieur4,,wobe ; francais ; espagnol ; dioula ; baoule ; anglais ; italien ; ebrie ; moore,,0,,,,,,0,,,,,,,,,,,professeur de francais de 3e.,Maison,,bonne,"lecture, voyages, concerts",,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciasf1,M,1945,59,Biankouma (CI),"Seguela (3) ; Man (6) ; Bouake (7) ; Abidjan (2) ; Senegal : Dakar (nc) ; France : Nantes, Rennes (5) ; Abidjan (nc).",Abidjan (Cocody),Pharmacien hospitalier et Professeur  l'Universite,1,7,Pharmacien hospitalier et Professeur  l'Universite,Marie,,2,28 ans et 26 ans,20 et plus,Superieur4,,toura ; francais ; anglais ; espagnol,,0,,,,,,0,,,,,,,,,,,instituteurs,Maison,,on voisinnage,cinema ; musique ; sport,,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciafo1,M,1981,24,Abidjan (CI),Abidjan ; Bouake (2) ; Abidjan,Abidjan (Abobo),,2,etudiant,,Celibataire,,,,20 et plus,Superieur4,en cours,"francais. anglais, baoule","Connaissances en anglais, baoule",0,,,,,,0,,,,,,,,,,,"ses soeurs, le professeur de francais de 6eme.",Maison,,bonne,"musique, sport",,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciana1,F,1981,23,Ferkessedougou (CI),Touba (7) ; Jacqueville (2) ; Touba (9) ; Abidjan (2),Abidjan (Agban),,2,,etudiant,Celibataire,,,,20 et plus,,technique (1e annee BT),ahizi ; adioukrou ; francais,,0,,,,,,0,,,,,,,,,,,instituteurs ; parents ; grand frere,Appartement,,bonne,"musique, danse, voyages dans la Cote dâ€™Ivoire",,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciaeo2,F,1979,26,Abidjan (CI),Abidjan,Abidjan (Cocody),,1,7,internat pharmacie,Celibataire,,,,20 et plus,Superieur4,,"francais, anglais",Anglais scolaire,0,,,,,,0,,,,,,,,,,,grande soeur,Maison,,bonne,"musique, lecture, foyer, decouvertes culturelles, voyages",,129,129,0000-00-00,,,,,,,,,,,
