"Reference","Speaker","Codes","Context","C1","C2_","_C3","S1","S2_","_S3","C2stop","C1","C2_","_C3",,"2nd coder C1","2nd coder C2_","2nd coder _C3"
49387,"75cac1",1122,", plutôt que de se retrouver","k","d","s",0,0,1,"y","k","d","s",,,,
49397,"75cac1",422,"au Premier Ministre","t","R","?",0,1,"?","n","t","R","?","*",,,
49400,"75cac1",1122,"en désespoir de cause, décidé à écrire au Premier Min","R","d","k",1,0,0,"y","R","d","k",,,,
49412,"75cac1",1122,"que maire de Beaulieu ne sait plus à quel saint se","R","d","b",1,0,0,"y","R","d","b",,,,
49418,"75cac1",1122,"ans l’église de Saint-Martinville.","z","d","s",1,0,1,"y","z","d","s",,,,
49422,"75cac1",1422,"Quelques fanatiques auraient même entamé un je","l","k","f",3,0,1,"y","l","k","f",,,,
49429,"75cac1",422,"ue des activistes des communes voisines","s","t","d",1,0,0,"y","s","t","d",,,,
49436,"75cac1",422,"L’Express, Ouest Liberté et le Nouvel Observateur","s","t","l",1,0,3,"y","s","t","l",,,,
49440,"75cac1",422,"quelques articles parus dans La Dépêche du Centre, L’Exp","k","l","p",0,3,0,"n","k","l","p",,,,
49452,"75cac1",1422,"jaloux de notre liberté.","t","R","l",0,1,3,"n","t","R","l",,,,
49454,"75cac1",1122,"ne membre de l’opposition aurait déclaré :","R","d","l",1,0,3,"y","R","d","l",,,,
49457,"75cac1",1122,"ité risquent de provoquer une explosion.","k","d","p",0,0,0,"y","k","d","p",,,,
49466,"75cac1",1122,"pour le protéger.","R","l","p",1,3,0,"n","R","l","p",,,,
49468,"75cac1",1122,"et s’assure que tout est f/ fait","R","k","t",1,0,0,"y","R","k","t",,,,
49474,"75cac1",1322,"4, le gouvernement prend contact avec la préfecture","R","n","m",1,2,2,"n","R","n","m",,,,
49475,"75cac1",1122,"ier Ministre, le gouvernement prend contact avec la pr","R","l","g",1,3,0,"n","R,","l","g","*",,,
49476,"75cac1",422,"du Premier Ministre, le gouvernement prend contact avec","t","R","l",0,1,3,"n","t","R,","l","*",,,
49479,"75cac1",1422,"D’un autre côté, à chaque voyage","t","R","k",0,1,0,"n","t","R","k",,,,
49481,"75cac1",422,"bords manifestent leur colère.","s","t","l",1,0,3,"y","s","t","l",,,,
49499,"75cac1",1122,"ne cesse de baisser depuis les élections.","s","d","b",1,0,0,"y","s","d","b",,,,
49501,"75cac1",1122,"mier Ministre ne cesse de baisser depuis les élection","R","n","s",1,2,1,"n","R","n","s",,,,
49503,"75cac1",422,"du Premier Ministre ne cesse de baisser depuis les é","t","R","n",0,1,2,"n","t","R","n",,,,
49506,"75cac1",422,"1 Beaulieu - Marc Blanc -","R","k","b",1,0,0,"y","R","k","b",,,,
49508,"75cac1",1122,"Le maire de Beaulieu - Marc Blanc -","R","d","b",1,0,0,"y","R","d","b",,,,
49515,"75cac1",1122,"ut découvrir ce qu’il appelle ’ la campagne profonde","R","s","k",1,1,0,"n","R","s","k",,,,
49517,"75ccb2",422,"au Premier Ministre","t","R","?",0,1,"?","n","t","R","?","*",,,
49521,"75ccb2",1122,"en désespoir de cause, décidé à d’écrire au Premier M","R","d","k",1,0,0,"y","R","d","k",,,,
