,SearchID,Speaker,LeftContext,RightContext,C1,C2,Schwa,C3,Codes,City,Discourse,Schwa,Word,Left,Right,Sex,Region,Zone,SchwaBin
54019,7,cqamt1,MT: Quelque,s fanatique0414s auraient mame0411 entama un je,l,k,ə,f,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54022,10,cqams1,sentiment de0112 se,trouver dans une0411 impasse1412 stupide0413.,d,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54023,11,cqams1,22 trouver au centre,"d'une0412 bataille0412 politique0412 dont, par041",t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54027,15,cqams1,que0412 maire0412 de,Beaulieu ne1112 sait plus a quel0412 saint se111,R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54034,22,cqamg1,sentiment de1112 se,re1212trouver dans une0411 impasse0412 stupide04,d,s,ə,R,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54044,32,cqajs1,3 plutat que0112 se,trouver,k,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54047,35,cqajs1,JF: Quelque,s fanatique0414s auraient mame0411 entama un je,l,k,ə,f,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54069,57,cqacp2,que0412 maire0412 de,Beaulieu ne1112 sait plus a quel0412 saint se111,R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54071,59,cqacp1,sentiment de1112 se,trouver dans un impasse0414 stupide2413.,d,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54079,67,cqacp1,que0412 maire0412 de,Beaulieu,R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54100,88,cqamt1,au Premier Ministre,pour0412 varifier si so/-n village0414 atait vr,t,R,ə,p,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54101,89,cqamt1,ue1112 des activiste,s des commune0412s voisine0414s prapare0411nt une,s,t,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54121,109,cqamg1,que0412 maire0412 de,Beaulieu ne1112 sait plus a quel0412 saint se111,R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54126,114,cqamg1,22 trouver au centre,"d'une0412 bataille0412 politique0412 dont, par041",t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54132,120,cqajs1,ue1112 des activiste,s des commune0412s voisine0414s prapare0411nt une,s,t,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,M,Quebec,Canada,1
54143,131,cqajr1,22 trouver au centre,"d'une0412 bataille0412 politique0412 dont, par041",t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54152,140,cqacp2,: plutat que0112 se,trouver au centre1422 d'une0412 bataille0412 poli,k,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
54158,146,cqacp1,,"trouver au cent/, de se re/ de se trouver au cent",?,?,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54178,166,cqaab1,22 trouver au centre,"d'une0412 bataille0412 politique0412 dont, par041",t,R,ə,d,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54180,168,cqamg1,,trouver au centre1422 d'une0412 bataille0412 poli,?,?,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54194,182,cqaab1,"De1132 plus, quelque",s article1422s parus dans La Dapache0412 du Cent,l,k,ə,z,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54195,183,cqaab1,quelque1422s article,"s parus dans La Dapache0412 du Centre0423, L'Exp",k,l,ə,p,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54198,186,cqaab1,que0412 maire0412 de,Beaulieu ne1112 sait plus a quel0412 saint se111,R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54222,210,cqaab1,et s'assure0412 que,tout est fait pour0412 le1122 protager.,R,k,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54230,218,cqaab1,bor0412ds manifeste,nt leur0412 colere0413.,s,t,ə,l,0422,Quebec ville (universite),read,no,polysylend,C,C,F,Quebec,Canada,0
54242,230,cqaab1,ne1122 cesse0412 de,baisser de1212puis les alections.,s,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54244,232,cqaab1,mier Minis0452tre ne,cesse0412 de1122 baisser de1212puis les alection,R,n,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54249,237,cqaab1,Le1132 maire0412 de,"Beaulieu, Marc0422 Blanc est en re1212vanche0412",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54256,244,cqaab1,"0312ment, car0412 le","Premier Minis0453tre, lassa des circuits habitue",R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54266,254,cqaab1,ux olympique0412s de,"Berlin en mille0412 neuf cent trente0412 six0413,",k,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54269,257,cqaab1,hampion local0412 de,"course0421 a pied, Louis Jarret, euh Garret, par",l,d,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54272,260,cqaab1,de1112 gloire0412 de,"Beaulieu ataient son vin blanc sec0413, ses jemi",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54288,276,cqacp1,en dasespoir0412 de,"cause0413, dacida a acrire0411 au Premier Min",R,d,ə,c,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54292,280,cqacp1,quelque1422s article,"s parus dans La Dapache0412 du Centre2423, L'Exp",k,l,ə,p,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54293,281,cqacp1,"De1132 plus, quelque",s article1422s parus dans La Dapache0412 du Cent,l,k,ə,z,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54299,287,cqacp1,jaloux de1112 notre,liberta.,t,R,ə,l,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
